code,name,description,refreshed_at,from_date,to_date
BAXF2009,"Three-Month Canadian Bankers' Acceptance Futures, January 2009 (BAXF2009)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2009. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:19:41,2009-01-02,2009-01-19
BAXF2010,"Three-Month Canadian Bankers' Acceptance Futures, January 2010 (BAXF2010)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2010. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:52:36,2009-10-20,2010-01-18
BAXF2011,"Three-Month Canadian Bankers' Acceptance Futures, January 2011 (BAXF2011)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2011. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 06:53:32,2010-10-19,2011-01-17
BAXF2012,"Three-Month Canadian Bankers' Acceptance Futures, January 2012 (BAXF2012)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2012. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 07:03:48,2011-10-18,2012-01-16
BAXF2013,"Three-Month Canadian Bankers' Acceptance Futures, January 2013 (BAXF2013)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2013. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2013-12-28 04:51:27,2012-10-16,2013-01-14
BAXF2014,"Three-Month Canadian Bankers' Acceptance Futures, January 2014 (BAXF2014)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2014. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2014-01-15 00:41:09,2013-10-15,2014-01-13
BAXF2015,"Three-Month Canadian Bankers' Acceptance Futures, January 2015 (BAXF2015)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2015. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2015-01-20 22:22:09,2014-10-14,2015-01-19
BAXF2016,"Three-Month Canadian Bankers' Acceptance Futures, January 2016 (BAXF2016)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2016. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2016-01-19 21:13:19,2015-10-20,2016-01-18
BAXF2017,"Three-Month Canadian Bankers' Acceptance Futures, January 2017 (BAXF2017)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2017. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2017-01-17 21:12:51,2016-10-18,2017-01-16
BAXF2018,"Three-Month Canadian Bankers' Acceptance Futures, January 2018 (BAXF2018)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2018. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2018-01-16 22:10:57,2017-10-17,2018-01-15
BAXF2019,"Three-Month Canadian Bankers' Acceptance Futures, January 2019 (BAXF2019)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2019. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2019-01-15 22:09:42,2018-10-16,2019-01-14
BAXF2020,"Three-Month Canadian Bankers' Acceptance Futures, January 2020 (BAXF2020)","MX Futures Price for Three-Month Canadian Bankers' Acceptance Futures, January 2020. Trading unit: C$1,000,000 nominal value of Canadian bankers' acceptance with a three-month maturity. Price quotation: Index: 100 minus the annualized yield of a Three-Month Canadian Bankers' Acceptance.",2020-01-14 22:09:32,2019-10-15,2020-01-13
